x1,x2,x3,x4
1.786561265,-0.366079511,-0.782471889,-0.296064622
0.981912145,-0.368542481,-0.449505128,-0.298297035
1.719101124,-0.489228035,0.382911776,-0.297300984
2.80952381,-0.134560287,0.549395156,-0.297799793
1.296,1.064906333,0.382911776,2.912551448
3.617647059,-0.555728237,0.382911776,-0.297490169
1.332608696,-0.109930582,-0.449505128,-0.297992797
1.57807309,0.096958938,-0.116538366,-0.297938938
5.698795181,-0.405487039,0.216428395,-0.29651822
3.592592593,-0.018800675,1.215328679,-0.29608004
2.550239234,-0.314357131,1.048845298,-0.298145582
2.831460674,-0.119782464,0.216428395,-0.297564177
2.089285714,-0.107467612,0.049945014,-0.297622985
2.40625,-0.070523054,0.882361918,-0.29778297
1.516778523,-0.555728237,0.382911776,-0.296841983
1.825688073,-0.336523865,1.048845298,-0.297363552
16,4.953936706,-1.281922031,-0.297489774
1.200934579,-0.587746853,0.549395156,-0.298264334
3.364779874,0.05508844,-2.280822315,-0.295067849
1.478070175,-0.348838718,0.549395156,-0.297901583
1.391472868,-0.122245434,-2.780272458,0.976376897
3.145348837,0.190551815,-1.115438651,-0.297808438
2.211267606,-0.540950414,-0.615988509,-0.297185162
2.323420074,0.225033402,-1.281922031,-0.297972051
2.181434599,0.136366465,-0.449505128,4.1441189
3.300546448,0.008292001,1.048845298,-0.297712149
3.565217391,-0.390709216,1.215328679,-0.298311221
1.212543554,-0.57050606,0.715878537,-0.298259962
1.859598854,-0.536024473,-0.116538366,-0.298247185
0.855670103,0.31862628,0.882361918,-0.298023688
0.999001996,,,
0.457323498,,,
-0.115151515,,,
2.352941176,,,
6.801932367,,,
0.634807418,,,
0.8125,,,
1.768535262,,,
0.212273642,,,
1.673267327,,,
0.898809524,,,
0.866096866,,,
0.852071006,,,
0.901734104,,,
1.265,,,
-0.018518519,,,
6.444444444,,,
0.504524887,,,
1.063063063,,,
1.275757576,,,
2.941984733,,,
1.269141531,,,
0.628472222,,,
0.512418301,,,
2.562146893,,,
0.48245614,,,
3.079136691,,,
0.423678332,,,
1.5,,,
5.321917808,,,
0.36996904,,,
0.182795699,,,
1.753056235,,,
1.098780488,,,
0.746928747,,,
0.238523852,,,
0.642032333,,,
0.179197995,,,
0.428093645,,,
1.350943396,,,
0.625835189,,,
0.764705882,,,
1.057034221,,,
0.6812749,,,
0.785714286,,,
0.38313253,,,
5.117750439,,,
0.888412017,,,
0.614203455,,,
0.806451613,,,
1.873737374,,,
0.590361446,,,
1.932692308,,,
1.282660333,,,
1.73992674,,,
0.678741659,,,
0.78276699,,,
0.167692308,,,
1.261388286,,,
0.494128275,,,
4.784615385,,,
3.223300971,,,
2.25,,,
4.610526316,,,
2.858585859,,,
2.623529412,,,
2.636363636,,,
3.524752475,,,
5.821428571,,,
3.78280543,,,
2.391304348,,,
2.959349593,,,
2.070866142,,,
3.834645669,,,
2.923076923,,,
2.624584718,,,
5.225,,,
2.444444444,,,
3.057142857,,,
2.526785714,,,
5.310344828,,,
3.674242424,,,
2.403536977,,,
3.071646341,,,
1.983870968,,,
3.1,,,
3.610526316,,,
3.035714286,,,
2.336734694,,,
5.511904762,,,
1.204160418,,,
1.052306634,,,
1.378776759,,,
1.147463649,,,
1.883517028,,,
1.301194038,,,
1.646900908,,,
1.887367041,,,
1.356178573,,,
1.239231358,,,
1.448712324,,,
1.493335037,,,
1.634164268,,,
2.133077433,,,
1.375022116,,,
0.948383998,,,
1.336279011,,,
1.496115856,,,
1.159512089,,,
1.350538884,,,
1.382522841,,,
1.175867454,,,
1.452686086,,,
1.331404728,,,
1.091400478,,,
1.275642799,,,
0.292892326,,,
0.133537577,,,
0.920893657,,,
1.388457684,,,
1.865680928,,,
1.012182078,,,
1.60578468,,,
0.999909024,,,
1.834253182,,,
1.015099791,,,
1.232200066,,,
0.384225386,,,
1.136914727,,,
1.170225088,,,
1.356794515,,,
1.181665833,,,
1.160771162,,,
1.716344506,,,
1.087361904,,,
0.819212094,,,
1.124153866,,,
1.039018729,,,
0.956346231,,,
1.289847491,,,
1.518319619,,,
1.189483219,,,
1.108480553,,,
0.251156625,,,
1.505208318,,,
1.182123071,,,
1.630036496,,,
0.303925793,,,
0.885677172,,,
0.461135519,,,
1.30826364,,,
0.890246949,,,
1.462120629,,,
0.980438027,,,
1.32003849,,,
1.031260843,,,
1.027249931,,,
1.319155429,,,
1.156725771,,,
1.209576491,,,
1.369224065,,,
1.251970593,,,
1.328099698,,,
1.514127641,,,
1.425424545,,,
0.97172969,,,
1.105104515,,,
1.213660212,,,
1.193289906,,,
1.544609384,,,
1.414267692,,,
1.190421145,,,
1.291080324,,,
1.673528552,,,
1.317460064,,,
1.30418953,,,
1.750938112,,,
1.46436643,,,
0.842344281,,,
1.014913389,,,
1.064779187,,,
1.138244423,,,
1.19931447,,,
0.811680593,,,
1.627373853,,,
0.736076435,,,
1.071123977,,,
0.889717539,,,
1.134545288,,,
1.037163461,,,
1.228554502,,,
1.494117027,,,
0.966419579,,,
1.225607312,,,
0.979337523,,,
0.440824882,,,
1.260043876,,,
0.857557653,,,
0.925474212,,,
0.99579308,,,
0.265489424,,,
1.266461096,,,
1.165960835,,,
0.326945091,,,
0.559885587,,,
1.273466772,,,
2.526112537,,,
0.422535211,,,
0.834916154,,,
1.479385705,,,
0.964991837,,,
0.941776228,,,
0.939396605,,,
0.947220019,,,
0.952895614,,,
0.933367903,,,
0.915468857,,,
0.909090909,,,
1.01992966,,,
0.911676002,,,
0.933415212,,,
0.919035314,,,
0.931877729,,,
0.906148867,,,
0.896674584,,,
0.890913693,,,
0.900067295,,,
0.912998624,,,
0.899104276,,,
0.869565217,,,
0.906961178,,,
0.923505102,,,
0.885817111,,,
0.926908593,,,
0.88812479,,,
0.919570116,,,
0.968034871,,,
0.963157418,,,
0.962419798,,,
0.983908046,,,
0.98265896,,,
1.003735274,,,
1.041992188,,,
1.045023928,,,
1.011893157,,,
1.012695313,,,
1.02751208,,,
1.001359751,,,
1.078546307,,,
1.018345924,,,
0.999706257,,,
1.012285012,,,
1.006010444,,,
0.998058252,,,
1.036344356,,,
1.04903968,,,
0.990050722,,,
1.008896275,,,
1.002340094,,,
1.005905512,,,
0.993210475,,,
1.016377649,,,
1.035263987,,,
0.993080596,,,
0.997265091,,,
1.034482759,,,
1.047125538,,,
1.028510266,,,
1.036132813,,,
1.036935971,,,
1.08082909,,,
1.096024742,,,
1.059383108,,,
1.016660759,,,
1.102090833,,,
1.206273545,,,
1.132797252,,,
1.156143005,,,
1.274411424,,,
1.040674526,,,
0.924594785,,,
0.94169157,,,
0.779065122,,,
0.926207546,,,
0.998995984,,,
1.006999,,,
0.912863071,,,
0.943892461,,,
0.713493315,,,
0.917411512,,,
0.84555762,,,
0.960490463,,,
0.950761382,,,
1.08456486,,,
0.9048,,,
0.918999932,,,
0.900007401,,,
0.960464597,,,
0.918907323,,,
0.906746585,,,
0.742270703,,,
0.728974264,,,
0.680090975,,,
0.663501996,,,
0.746675316,,,
0.673836699,,,
0.663554872,,,
0.644045378,,,
0.736641221,,,
0.656356092,,,
0.663598416,,,
0.656165294,,,
0.696122929,,,
0.627351951,,,
0.634128963,,,
0.626753071,,,
0.609324213,,,
0.66177579,,,
0.59942334,,,
0.589623733,,,
0.606157793,,,
0.658153242,,,
0.663008922,,,
0.726441306,,,
0.702173913,,,
0.670684507,,,
0.765392093,,,
0.814841242,,,
0.801807712,,,
0.844839691,,,
1.01100348,,,
0.959521539,,,
1.113358463,,,
1.115025709,,,
1.125091174,,,
1.014612628,,,
1.098941555,,,
1.091082499,,,
1.083333333,,,
1.067675868,,,
1.042415528,,,
1.104343932,,,
0.984869077,,,
1.069143263,,,
1.084269663,,,
1.175378331,,,
1.099586886,,,
1.143636364,,,
0.994684206,,,
0.995345507,,,
1.024170783,,,
1.082587246,,,
1.088907392,,,
1.091356674,,,
1.073224244,,,
1.149680644,,,
1.131059246,,,
1.055854518,,,
1.198636622,,,
1.1039841,,,
0.856109015,,,
0.978922369,,,
0.927092026,,,
0.795614626,,,
0.961945861,,,
1.005564067,,,
0.993793892,,,
1.023731588,,,
1.371970307,,,
